System Name,System Description,System Owner Name,System Owner Email,Infosec Focal Person,Infosec Focal Person Email,Status,Business Unit Path,Asset Class,Data Classification,Associate Vendors,Cost to restore,On Premise,M&A asset,Cloud,RTO,RPO,Cyber Security Tools,Records Processed,Geo Records Processed
Absolute Destruction,Destruction of paper,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Information Technology,Business Critical,"Privacy, PII, Actuarial, Claims, Medical, Underwriting, Financial",Absolute Destruction,200,YES,NO,NO,24,24,,332461,"Germany,,332461"
Accounting CS Professional Suite,Financial Reporting,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,PII,Amazon;Lyons Commercial Data,2000,YES,NO,NO,24,24,,7000,
Accurint,Background Checks,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Crucial,PII,Lexis Nexis,500,NO,NO,YES,24,24,,29000,
Accuzi,Address standardization,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Policy Services,Business Crucial,Underwriting,Accuzip,500,NO,NO,YES,,48,,800000,
Acord,Certificate of Insurance,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Policy Services,Business Crucial,Underwriting,,500,NO,NO,YES,24,24,,0,
Acuity,Flex Plan,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Human Resources,Business Crucial,PII,,2500,NO,NO,YES,20,23,,22610,
AFIRM,Commercial Audits,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Underwriting,Business Crucial,PII,IBM;Citrix Systems Inc.,800,NO,NO,YES,24,24,,125000,
Agency Database,Database with Agent information,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,"PII, Financial",Amazon;IBM,800,NO,NO,YES,24,24,,1226,
Agency Manager,Database with Agent information,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,"PII, Financial",Amazon,800,NO,NO,YES,,24,,1226,
Agent and Agency Manger Bonus Programs,Determines eligibility for bonus program and calculates amount of bonus to be paid and makes and records the payments.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Sales,Business Critical,Financial,Cisco,250,NO,NO,YES,48,48,,1245,
Agent Center,Production Tracking,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Sales,Business Crucial,Underwriting,Department of the Treasury;Bank of America,800,NO,NO,YES,,24,,0,
Agent Commissions,Commission processing system,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Sales,Business Crucial,"PII, Financial",Department of the Treasury,500,NO,NO,YES,72,72,,350,
Always Care,Onsite Medical Care,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Human Resources,Business Critical,"PII, Healthcare, Medical",Health Equity,4000,YES,NO,NO,24,24,,1502500,"United States,Mississippi,1502500"
AQS,Commercial Lines Policy System,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Policy Services,Crown Jewel,"State Regulated, Underwriting",Carfax,500,NO,NO,YES,24,24,,,
Articulate 360,Course Authoring Software,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Training,Business Crucial,Underwriting,Information Providers,500,NO,NO,YES,72,72,,,
Assigned Risk,Get info from AISPO monthly; policies are serviced by AIPSO.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Crucial,Financial,,14000,NO,NO,YES,24,24,,0,
AssureSign,Electronic Signatures,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Underwriting,Business Crucial,"PII, State Regulated, Underwriting",Insurance Services Office (ISO),1200,NO,NO,YES,72,72,,3000,
Auto Data Direct Inc.,Claims Investigation,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Crucial,"PII, Medical, Financial",Johnson Controls,500,NO,NO,YES,72,72,,3650,"United States,Florida,3650"
Avaya Phone System,Customer Service Center phone system,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Information Technology/IT Infrastructure,Crown Jewel,Employee,JS Investigations,2500,NO,NO,YES,24,24,,5000,"United States,Mississippi,5000"
AVS Plus - Automated Valuation Service,Investment Reporting - Valuation of Securities and Bonds.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,Financial,KPMG,500,NO,NO,YES,24,24,,,
Badge Pass,Access Control to building,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Facilities,Business Crucial,PII,Lexis Nexis,2500,NO,NO,YES,24,24,,5000,"United States,Mississippi,5000"
BCBS - Florida Blue,Employee Health Plans,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Human Resources,Business Crucial,"PII, Medical",Lyons Commercial Data,200,NO,NO,YES,24,24,,250,"United States,Florida,250"
Bell,Subrogation Collection,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Crucial,"PII, Claims",Mad Genius,200,NO,NO,YES,72,72,,360,"United States,Florida,360"
BenefitHub,Employee Benefit Portal,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Crucial,"PII, Medical",Madrid Engineering Group,200,NO,NO,YES,72,72,,50,
Bloomberg,"Investment information, trading/order management, and communication system. Also used for research and analytics.",,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Crown Jewel,Financial,Merrill,300,NO,NO,YES,21,21,,,
Blue Cross Commissions,Process commission payments for Blue Cross products.,,"{demouser02}",,"{demouser01}",ACTIVE,CO/Sales and Marketing,Business Crucial,PII,Microsoft,240,NO,NO,YES,72,72,,540,"United States,Arkansas,540"
BOA Disbursements,BOA Disbursements,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Accounting,Crown Jewel,Financial,Morgan Stanley,1200,NO,NO,YES,24,24,,0,
BoardEffect,Access board meeting materials,,"{demouser02}",,"{demouser01}",ACTIVE,"Headquarters/Legal, Regulatory and Legislative",Business Critical,Financial,National Alliance for Insurance Education & Research,10000,NO,NO,YES,24,24,,10,
Booke TCP,Financial Reporting,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,Financial,National Association Of Insurance Commissioners (NAIC),500,NO,NO,YES,24,24,,,
Boomtax,PPACA Provider,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Human Resources,Business Critical,PII,National Commerical Services (NCS),10000,NO,NO,YES,24,24,,4025,
Bridger Insight XG,OFAC compliance,,"{demouser02}",,"{demouser01}",ACTIVE,"Headquarters/Legal, Regulatory and Legislative",Business Crucial,PII,National Insurance Crime Bureau (NICB),250,NO,NO,YES,24,24,,492000,
Bright Claims,Adjuster services,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Critical,"PII, Claims, Medical",National Subrogation Service,5000,YES,NO,NO,42,42,,2000,"United States,Louisiana,2000"
Brokerage Commission,Agent compensation,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Crucial,Financial,Northern Trust,2500,YES,NO,NO,48,48,,0,
CAMRA - Complete Asset Management Reporting and Accounting System,Investment Reporting - tracking investments.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,Financial,Open Source,1200,YES,NO,NO,24,24,,,
Camtasia Software,Course Authoring and Video Editing Software.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Training,Business Crucial,PII,Open Text,500,NO,NO,YES,72,72,,1,
Care Here,On Site Medical Clinic,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Human Resources,Business Critical,"PII, Healthcare, Medical",Oracle Corporation,500,NO,NO,YES,21,25,,2000,"United States,Mississippi,2000"
Cash Management Software,Financial Reporting - Bank Reconciliation.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,Financial,PayPal,300,NO,NO,YES,24,24,,,
CCC One,Auto Loss Estimating Software,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Training,Business Crucial,PII,PostgreSQL Global Development Group Regents of the University of California,245,NO,NO,YES,72,72,,190,
Claims System - Florida,Legacy Claims System,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Crown Jewel,"PII, Actuarial, Claims, Federal, State Regulated, Underwriting, Financial",QQ Solutions,3000,YES,NO,NO,72,72,,32000,"United States,Florida,32000"
CLEAR,Vendor Data Center (Thompson Reuters),,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Crucial,"PII, Claims, Financial",Raymond James,500,NO,NO,YES,,72,,100,
CLEAR ,Vendor Data Center (Thompson Reuters),,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Crucial,"PII, Claims, Financial",Real VNC,500,NO,NO,YES,72,72,,100,
COBRA,Extended health insurance,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Human Resources,Business Crucial,"PII, Federal, Medical",,300,NO,NO,YES,72,72,,280,"United States,California,280"
Commercial Express - CO,Commercial/ag property values,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Underwriting,Business Critical,"PII, Underwriting",,300,NO,NO,YES,72,72,,700,"United States,Colorado,700"
Commercial Fire,Field Underwriters inspect the commercial propety & return inspections by e-mail theses inspections go directly into ImageRight.,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Underwriting,Business Critical,Underwriting,Red Hat,400,NO,NO,YES,72,72,,5600,
Commercial Property System,"Stores policy information for Commercial Fire, Church Package, Business Package, Business owner, Commercial Crime, Comprehensive Glass.",,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Underwriting,Crown Jewel,"PII, Actuarial, Claims, Underwriting, Financial",Sage,500,NO,NO,YES,42,42,,5550,"United States,Mississippi,5550"
Commissions,Legacy commissions system,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Sales,Business Critical,PII,Salesforce.com,600,NO,NO,YES,72,72,,850,"United States,Florida,850"
Commission System,Agent compensation,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Accounting,Crown Jewel,"PII, Actuarial, Financial",SAP SE,2500,NO,NO,YES,48,48,,500,
Company Car Expense system,Company Cars,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Human Resources,Business Crucial,"PII, Underwriting",Talent Nest,600,NO,NO,YES,72,72,,4000,
Connelly Printing,Printing services,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Human Resources,Business Critical,Underwriting,Temenos (formerly Avoka),400,NO,NO,YES,72,72,,0,
Contact Manager,"Guidewire Suite contact management system. ClaimCenter is integrated with this application for vendor management. PolicyCenter and BillingCenter will be integrated with it for policy, mortgagee, lienholder, and billing contacts.",,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Claims,Crown Jewel,"PII, Claims, Financial","Torrent Technologies, Inc.",6000,YES,NO,NO,20,20,,81887,
Core Commissions,Commission processing system,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Sales and Marketing,Crown Jewel,Financial,Ultimate Software Group,245,NO,NO,YES,50,50,,,
CoreLogic,Underwriting management system,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Sales and Marketing,Crown Jewel,Underwriting,Universal Engineering Sciences,300,NO,NO,YES,42,42,,200000,
Coverall,Commercial rating & policy issuance,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Underwriting,Crown Jewel,Underwriting,University of Colorado Health (UCHealth),500,NO,NO,YES,72,72,,,
CSA Today,Salvage application,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Underwriting,Business Crucial,"PII, Claims, Federal, State Regulated, Underwriting, Financial",US Bank Pivot,500,NO,NO,YES,24,24,,500,
Customer Prospecting System,CPS,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters,Business Critical,PII,USPS,1500,NO,NO,YES,24,24,,20000,
Customer Relation System,CRM on AWS,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Products,Crown Jewel,PII,Verizon,240,NO,NO,YES,6,6,,1000000,
Custom Security,Access to building,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Products,Business Crucial,PII,WEX,500,NO,NO,YES,24,24,,500,"United States,Mississippi,500"
Cyber Scout,Identify Theft Management,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Sales and Marketing,Business Crucial,Vendor,WPC,400,NO,NO,YES,24,24,,,
Data Warehouse,Historical WPS data repository for use with Power BI.,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Accounting and Finance,Business Critical,"PII, Actuarial, Claims, Federal, State Regulated, Underwriting, Financial",Xactware,24000,YES,NO,NO,4,4,,10000000,
Data Watch Monarch,transform PDF to data files,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Accounting,Business Critical,"PII, Financial",Zywave (formerly ITC),500,NO,NO,YES,72,72,,5000,
Delta Dental,Dental Insurance,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Human Resources,Business Critical,"PII, Medical",,2500,YES,NO,NO,20,23,,1099,"United States,California,1000"
Diamond Skip Search,Vendor Data Center,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Claims,Business Crucial,"PII, Claims, Financial",,250,NO,NO,YES,24,24,,50000,"United States,Colorado,50000"
Digipics,Agents use to send pictures into ImageRight to the policy #.,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Underwriting,Business Crucial,Underwriting,,300,NO,NO,YES,72,72,,52500,
Disputed Credit History,Disputed credit system,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Underwriting,Business Crucial,Underwriting,Red Hat,400,NO,NO,YES,,50,,,
Disputed Credit History ,Disputed credit system,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Underwriting,Business Crucial,Underwriting,Sage,400,NO,NO,YES,50,50,,,
DMS,Mail Sort service,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Policy Services,Business Critical,"PII, Actuarial, Underwriting",Salesforce.com,150,NO,NO,YES,72,72,,3750,
Documentum,"ImageRight serves as our enterprise document and media storage repository from the enterprise claim perspective. Documents, photos, recordings, are stored here and associating with their corresponding claim making them available for retrieval as needed throughout the claim management process.",,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Information Technology/Billing,Business Critical,"PII, Actuarial, Claims, Underwriting, Financial",SAP SE,5000,NO,NO,YES,20,23,,85000,
DPS,Document Production System - Policy document printing. There is a legacy app called DPS which is used by Colorado and was written in-house.  It is not used by other states. This app â€“ the Document Production System (DPS) â€“ runs nightly and creates the documents which are sent to the policyholders. It creates files which are sent to HQ every night; HQ then sends the info to HMHS for printing. DPS also sends info to HQ which is then sent to HP for electronic notifications. These go to Mortgagee and Lienholder companies electronically.,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Underwriting,Crown Jewel,"PII, Underwriting",Talent Nest,5000,YES,NO,NO,24,24,,275000,"United States,Colorado,275000"
EXL (Med Connections),Vendor Medical Review Website,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Claims,Business Crucial,"PII, Claims, Medical, Financial",Temenos (formerly Avoka),250,NO,NO,YES,24,24,,2000,"United States,Colorado,2000"
FiServ,Credit Card Processing,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters,Business Critical,"Credit Card, Financial","Torrent Technologies, Inc.",2500,YES,NO,NO,21,26,,3500000,"United States,Florida,3500000"
Guidewire Auto,Auto policy rating & issuance,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Underwriting,Crown Jewel,"PII, Underwriting",Ultimate Software Group,15000,NO,NO,YES,,4,,200000,"United States,California,200000"
Guidewire Billing Center,Billing and Payments Collection,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Information Technology/Billing,Crown Jewel,"PII, Financial",Universal Engineering Sciences,15000,NO,NO,YES,21,26,,21000000,
Guidewire ClaimCenter,"Guidewire ClaimCenter is a claims management system that supports all lines of personal, commercial, and workers' compensation insurance.",,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Claims,Crown Jewel,"PII, Actuarial, Claims, Federal, Medical, State Regulated, Underwriting, Financial",University of Colorado Health (UCHealth),25000,YES,NO,NO,20,23,,2000008,"United States,California,1000
United States,Colorado,2000
United States,New York,1000000"
Guidewire Contact Manager,"Guidewire Suite contact management system. ClaimCenter is integrated with this application for vendor management. PolicyCenter and BillingCenter will be integrated with it for policy, mortagee, lienholder, and billing contacts.",,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Claims,Crown Jewel,"PII, Claims, Financial",US Bank Pivot,2500,NO,NO,YES,4,4,,4000000,"United Kingdom,,4000000"
Health Equity,Health Savings Account,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters/Human Resources,Business Critical,"PII, Financial",USPS,2500,NO,NO,YES,,24,,280,"United States,,1530"
Legal System,Legal document management,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters,Business Crucial,PII,Verizon,2500,NO,NO,YES,12,12,,120000,"United States,California,1000"
Microsoft Power BI,Power BI is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards.,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Accounting and Finance,Business Critical,"Actuarial, Claims, Federal, State Regulated, Underwriting, Financial",WEX,1500,NO,NO,YES,48,48,,1000,"United States,Colorado,1000"
Salesforce,CRM System,,"{demouser04}",,"{demouser04}",ACTIVE,Headquarters,Crown Jewel,"Privacy, PII",WPC,16000,NO,NO,YES,4,4,,1000000,"United States,California,1000"
TAM Online,Brokerage Agency Management System,,"{demouser04}",,"{demouser04}",ACTIVE,CO/Underwriting,Business Critical,"PII, Credit Card",Xactware,10000,NO,NO,YES,6,6,,57400,"United States,California,350000
United States,New York,200000"
Title division internet access & voice response system,Search for registered title owner of the vehicle.,,"{demouser03}",,"{demouser03}",ACTIVE,CO/Underwriting,Business Crucial,Underwriting,Zywave (formerly ITC),2500,NO,NO,YES,,72,,5000,"United States,California,1000"
Trading System,Equity Trading System,,"{demouser03}",,"{demouser03}",ACTIVE,Headquarters,Crown Jewel,"Privacy, PII",,2500,NO,YES,YES,4,4,,1000000,"Germany,,1000000"
Underwriting Messaging System,Internal messaging system b/w Underwriters & Agents.,,"{demouser03}",,"{demouser03}",ACTIVE,CO/Underwriting,Business Critical,"PII, Underwriting",,1000,YES,NO,NO,6,6,,22370,"United States,Connecticut,22370"
United Concordia,Dental insurance,,"{demouser03}",,"{demouser03}",ACTIVE,Headquarters/Human Resources,Business Critical,PII,,2500,NO,NO,YES,,24,,28000,"United States,California,28000"
Verified Credentials,Background Screening Provider,,"{demouser03}",,"{demouser03}",ACTIVE,Headquarters/Human Resources,Business Critical,PII,,2500,NO,NO,YES,21,26,,9650,"United States,California,5000
United States,New York,4000"
Voucher Checks,Vendor bill payment check processing,,"{demouser03}",,"{demouser03}",ACTIVE,Headquarters/Accounting,Business Critical,Financial,,2000,YES,NO,NO,24,24,,56767,"United States,California,55000"
WPC,"Internal claim, financial and policy system - homegrown system.",,"{demouser03}",,"{demouser03}",ACTIVE,CO,Crown Jewel,"PII, Claims, Credit Card, Federal, Medical, State Regulated, Underwriting, Financial",,2500,YES,NO,NO,6,6,,1000000,"United States,California,100000"
